Product Name,Rating,Review,Date
Product A,2,"Horrible experience, won’t buy again.",02-Oct-2023
Product C,3,"Does what it claims, decent buy.",22-Mar-2023
Product D,3,"Could be improved, but works fine.",14-Jul-2022
Product A,3,"Could be improved, but works fine.",16-Nov-2022
Product D,1,"Disappointing, waste of money.",02-Jun-2022
Product D,4,Great build quality and features.,24-Nov-2022
Product B,3,"Does what it claims, decent buy.",27-Apr-2023
Product D,5,"Perfect purchase, couldn’t be happier.",29-Oct-2024
Product A,5,Great build quality and features.,24-Jun-2024
Product B,5,"Fantastic experience, totally worth it.",18-Nov-2024
Product D,5,"Perfect purchase, couldn’t be happier.",24-Sep-2022
Product B,3,"Average product, gets the job done.",15-Oct-2022
Product C,3,It's functional but lacks premium feel.,25-Jan-2022
Product B,1,"Horrible experience, won’t buy again.",28-Jul-2022
Product B,5,Great build quality and features.,17-Sep-2024
Product D,2,"Horrible experience, won’t buy again.",12-Jan-2023
Product D,2,"Horrible experience, won’t buy again.",14-Aug-2024
Product B,4,"Fantastic experience, totally worth it.",04-Dec-2023
Product A,2,"Disappointing, waste of money.",18-Oct-2024
Product C,5,"Fantastic experience, totally worth it.",17-Nov-2022
Product D,4,Great build quality and features.,19-Jan-2023
Product A,3,"Could be improved, but works fine.",06-Dec-2023
Product D,5,"Highly recommend, very impressed.",20-Sep-2024
Product B,3,"Does what it claims, decent buy.",13-Mar-2022
Product A,3,"Does what it claims, decent buy.",09-May-2024
Product A,2,"Horrible experience, won’t buy again.",23-Oct-2023
Product B,2,"Terrible quality, broke after a week.",02-Apr-2022
Product B,4,"Absolutely love it, exceeded expectations!",19-Dec-2022
Product D,2,"Disappointing, waste of money.",21-Mar-2022
Product C,5,"Fantastic experience, totally worth it.",11-May-2024
Product C,4,"Absolutely love it, exceeded expectations!",18-Aug-2022
Product C,4,"Perfect purchase, couldn’t be happier.",28-Dec-2022
Product C,1,"Disappointing, waste of money.",27-Oct-2024
Product B,3,"Does what it claims, decent buy.",04-Sep-2023
Product B,4,"Highly recommend, very impressed.",23-May-2022
